clade_name,NCBI_tax_id,Soil_2_S57_trimmed_merged_profile,Soil_1_S56_trimmed_merged_profile,Sample_75_S163_trimmed_merged_profile,Sample_72_S162_trimmed_merged_profile,Sample_68_S161_trimmed_merged_profile,Sample_63_S160_trimmed_merged_profile,Sample_62_S159_trimmed_merged_profile,Sample_56_S158_trimmed_merged_profile,Sample_55_S157_trimmed_merged_profile,Sample_48_S156_trimmed_merged_profile,Sample_46_S155_trimmed_merged_profile,Sample_45_S154_trimmed_merged_profile,Sample_37_S152_trimmed_merged_profile,Sample_29_S151_trimmed_merged_profile,Sample_15_S150_trimmed_merged_profile,Sample_11_S149_trimmed_merged_profile
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,2|508458|649775|649776,0,0,0,0,2.87646,0.92335,3.52712,0.63416,1.83806,2.24193,7.09994,3.28505,2.6379,1.52587,1.29902,0.6581
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae,2|508458|649775|649776|649777,0,0,0,0,2.87646,0.92335,3.52712,0.63416,1.83806,2.24193,7.09994,3.28505,2.6379,1.52587,1.29902,0.6581
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium,2|508458|649775|649776|649777|1434006,0,0,0,0,2.87646,0.92335,3.52712,0.63416,1.83806,2.24193,7.09994,3.28505,2.31872,1.52587,1.29902,0.6581
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum,2|508458|649775|649776|649777|1434006|651822,0,0,0,0,2.87646,0.92335,3.52712,0.63416,1.83806,2.24193,7.09994,3.28505,2.31872,1.52587,1.29902,0.6581
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,2|201174|1760|2037|2049|1654|544580,0,0,0,0,0,0.87537,2.09066,15.39221,0.01091,6.04251,0.0448,1.16884,2.05056,1.76094,1.33503,2.75632
k__Bacteria|p__Firmicutes|c__Bacilli,2|1239|91061,29.67121,0,0,0,0.22894,0.86023,12.3521,13.16947,2.11901,3.14417,6.50998,4.8984,4.3382,3.75179,1.80717,14.26809
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,2|1239|91061|1385,29.67121,0,0,0,0.1908,0.86023,0.26191,0.11627,0.01551,2.02085,6.37913,1.28411,0.29115,3.75179,0.40729,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified,2|1239|91061|1385|,0,0,0,0,0.1908,0.86023,0.26191,0.11627,0.01551,2.02085,6.37913,1.28411,0.29115,3.75179,0.40729,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella,2|1239|91061|1385||1378,0,0,0,0,0.1908,0.86023,0.26191,0.11627,0.01551,2.02085,6.37913,1.28411,0.29115,3.75179,0.40729,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_bergeri,2|1239|91061|1385||1378|84136,0,0,0,0,0.1908,0.86023,0.148,0.11627,0,2.02085,6.37913,0.33626,0.23777,3.75179,0.40729,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,2|1239|526524,0,0,0,0,0.04653,0.16322,0,0,0.04578,0,0.03084,0,0.01963,0.08807,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,2|1239|526524|526525,0,0,0,0,0.04653,0.16322,0,0,0.04578,0,0.03084,0,0.01963,0.08807,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,2|1239|526524|526525|128827,0,0,0,0,0.04653,0.16322,0,0,0.04578,0,0.03084,0,0.01963,0.08807,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia,2|1239|526524|526525|128827|118747,0,0,0,0,0.04653,0.16322,0,0,0.04578,0,0.03084,0,0.01963,0.08807,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa,2|1239|526524|526525|128827|118747|118748,0,0,0,0,0.04653,0.16322,0,0,0.04578,0,0.03084,0,0.01963,0.08807,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia,2|201174|84998,0,0,0,10.94114,2.33012,0,0.50631,0.78645,0.90161,0.56725,0.25214,0.56505,2.3169,0.7416,0.89617,1.89735
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,2|201174|84998|84999,0,0,0,10.94114,2.2301,0,0.50631,0.78645,0.82512,0.56725,0.25214,0.56505,2.31075,0,0.89617,1.89735
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae,2|201174|84998|84999|1643824,0,0,0,10.94114,2.2301,0,0.50631,0.78645,0.82512,0.56725,0.25214,0.56505,2.31075,0,0.89617,1.89735
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella,2|201174|84998|84999|1643824|133925,0,0,0,10.94114,2.2301,0,0.50631,0.78645,0.82512,0.56725,0.25214,0.56505,2.31075,0,0.89617,1.89735
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli,2|201174|84998|84999|1643824|133925|133926,0,0,0,10.94114,2.2301,0,0.47312,0.58818,0.82512,0.56725,0.25214,0.56505,1.99785,0,0.89617,1.89735
k__Archaea|p__Thaumarchaeota,2157|651137,0.48368,0,7.58486,4.55363,0,0,0.06326,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified,2157|651137|,0,0,7.58486,4.55363,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified,2157|651137||,0,0,7.58486,4.55363,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified,2157|651137|||,0,0,7.58486,4.55363,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified,2157|651137||||,0,0,7.58486,4.55363,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_archaeon_CSP1_1,2157|651137|||||1640512,0,0,7.58486,4.55363,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,2|1224|1236,15.3672,0,3.37285,0,0,0,0.3338,0.09173,0.18278,0,0,1.06001,0.07481,0.33615,0.55353,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales,2|1224|1236|1692040,0,0,3.37285,0,0,0,0,0,0,0,0,0,0,0.33615,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae,2|1224|1236|1692040|1692041,0,0,3.37285,0,0,0,0,0,0,0,0,0,0,0.33615,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis,2|1224|1236|1692040|1692041|1744881,0,0,3.37285,0,0,0,0,0,0,0,0,0,0,0.33615,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis|s__Sulfuricaulis_limicola,2|1224|1236|1692040|1692041|1744881|1620215,0,0,3.37285,0,0,0,0,0,0,0,0,0,0,0.33615,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,2|1224|28216,3.00126,0,1.68893,0,0.69302,0,7.36638,16.88582,3.74938,0,0,14.76647,16.83561,0,2.15068,4.5009
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales,2|1224|28216|32003,3.00126,0,1.68893,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae,2|1224|28216|32003|2008790,3.00126,0,1.68893,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus,2|1224|28216|32003|2008790|919,3.00126,0,1.68893,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_denitrificans,2|1224|28216|32003|2008790|919|36861,3.00126,0,1.68893,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,2|1239|186801|186802|31979,0,0,1.05014,0,0,0,0,0,0.08208,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,2|1239|186801|186802|31979|1485,0,0,1.05014,0,0,0,0,0,0.08208,0,0,0,0,0,0,0
